Período,precio_petroleo_wti,riesgo_pais_pb
2024-01-01,84.14,1383
2024-01-02,75.55,1230
2024-01-03,75.63,1114
2024-01-04,77.53,1329
2024-01-05,70.71,1322
2024-01-06,80.83,1225
2024-01-07,74.02,1149
2024-01-08,79.63,1318
2024-01-09,74.97,1367
2024-01-10,83.22,1215
2024-01-11,71.65,1265
2024-01-12,76.87,1122
2024-01-13,79.23,1294
2024-01-14,81.78,1122
2024-01-15,81.26,1226
2024-01-16,82.39,1335
2024-01-17,70.33,1264
2024-01-18,84.39,1252
2024-01-19,81.38,1202
2024-01-20,81.72,1347
2024-01-21,80.13,1128
2024-01-22,79.07,1329
2024-01-23,77.09,1384
2024-01-24,70.02,1208
2024-01-25,73.94,1135
2024-01-26,81.04,1281
2024-01-27,80.45,1376
2024-01-28,72.97,1321
2024-01-29,80.06,1353
2024-01-30,81.86,1170
